#ID	Name	SMILES
1agpg161	1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)	CCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OC[C@@H](O)CO
2ombzl	2-Octaprenyl-6-methoxy-1,4-benzoquinol	COc1cc(O)cc(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)c1O
3htdcoa	(S)-3-Hydroxytetradecanoyl-CoA	CCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
1agpg180	1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)	CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OC[C@@H](O)CO
1agpg181	1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)	CCCCCCCC/C=C/CCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC(O)CO
2omhmbl	2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol	COc1c(O)c(O)c(C)c(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)c1O
1ddecg3p	1-dodecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-]
3ig3p	C'-(3-Indolyl)-glycerol 3-phosphate	O=P([O-])([O-])OC[C@@H](O)[C@@H](O)c1c[nH]c2ccccc12
3mob	3-Methyl-2-oxobutanoate	CC(C)C(=O)C(=O)[O-]
2ommbl	2-Octaprenyl-3-methyl-6-methoxy- 1,4-benzoquinol	COc1cc(O)c(C)c(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)c1O
3mop	(S)-3-Methyl-2-oxopentanoate	CCC(C)C(=O)C(=O)[O-]
2omph	2-Octaprenyl-6-methoxyphenol	COc1cccc(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)c1O
3ocddec5eACP	3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein]	*OP(=O)([O-])OCC(C)(C)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CC=CCCCCCC
2oph	2-Octaprenylphenol	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1ccccc1O
1hdecg3p	1-hexadecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-]
2p4c2me	2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	C[C@@](CO)(OP(=O)([O-])[O-])[C@H](O)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O
1odec11eg3p	1-octadec-11-enoyl-sn-glycerol 3-phosphate	CCCCCC/C=C/CCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-]
2pg	D-Glycerate 2-phosphate	O=C([O-])[C@@H](CO)OP(=O)([O-])[O-]
1odecg3p	1-octadecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-]
3ocmrs7eACP	3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein]	*OP(=O)([O-])OCC(C)(C)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCCC=CCCCCCC
3ocpalm9eACP	3-oxo-cis-palm-9-eoyl-[acyl-carrier protein]	*OP(=O)([O-])OCC(C)(C)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCCCCCCCCCCC=C
1pyr5c	1-Pyrroline-5-carboxylate	O=C([O-])[C@@H]1CCC=N1
2pglyc	2-Phosphoglycolate	O=C([O-])COP(=O)([O-])[O-]
1tdec7eg3p	1-tetradec-7-enoyl-sn-glycerol 3-phosphate	CCCCCC/C=C\CCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-]
