Canonical_SMILES,Is_Starter,SourceDirectories
*C(=O)[C@H](C)OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)Cn1c2nc(=O)[nH]c(=O)c-2cc2ccc(O)cc21,False,RemdesivirOnly_gen2
*C(=O)[C@H](C)OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)CN1c2cc(O)ccc2Cc2c1[nH]c(=O)[nH]c2=O,False,RemdesivirOnly_gen2
CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,False,RemdesivirOnly_gen2
C#[O+],False,RemdesivirOnly_gen2
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,False,RemdesivirOnly_gen2
F,False,RemdesivirOnly_gen2
CCCC(CC)COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(C)C,False,RemdesivirOnly_gen2
CCC(C)(CC)COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)C(C)OC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)CN[P@@](=O)(Oc1ccccc1)OC(C)[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)CN[P@](=O)(OC[C@]1(C)O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@]1(C)O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@@](C)(O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2c(C)cc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2cc(C)c3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)nc(C)nn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1C,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1cccc(C)c1,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccc(C)cc1,False,RemdesivirOnly_gen2
CCCCCCOC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCCC(C)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)CCN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCN[P@@](=O)(Oc1ccccc1)OC(C(=O)OCC(CC)CC)[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,False,RemdesivirOnly_gen2
CCN[P@](=O)(OC[C@]1(C(=O)OCC(CC)CC)O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@]1(O)C(=O)OCC(CC)CC)Oc1ccccc1,False,RemdesivirOnly_gen2
CCN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@](O)(C(=O)OCC(CC)CC)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2c(C(=O)OCC(CC)CC)cc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2cc(C(=O)OCC(CC)CC)c3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)nc(C(=O)OCC(CC)CC)nn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1C(=O)OCC(CC)CC,False,RemdesivirOnly_gen2
CCN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1cccc(C(=O)OCC(CC)CC)c1,False,RemdesivirOnly_gen2
CCN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccc(C(=O)OCC(CC)CC)cc1,False,RemdesivirOnly_gen2
CCC(CC[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)COC=O,False,RemdesivirOnly_gen2
CCC(C)CCOC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CC(C)C(C)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(COC=O)C(C)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(C)(C)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)(COC=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(C)C(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCCC(CC)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)C(OC=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(C)COC(=O)C(C)(C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCCCOC(=O)[C@](C)(CC)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)[C@](C)(N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OC,False,RemdesivirOnly_gen2
CCC(C)COC(=O)[C@H](CC)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCCCOC(=O)[C@H](CCC)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)C[C@H](N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OC,False,RemdesivirOnly_gen2
CCC(C)COC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OC(C)[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,False,RemdesivirOnly_gen2
CCCCOC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OC(CC)[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,False,RemdesivirOnly_gen2
CCC(CC)C(O[P@@](=O)(N[C@@H](C)C(=O)OC)Oc1ccccc1)[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,False,RemdesivirOnly_gen2
CCC(C)COC(=O)[C@H](C)N[P@](=O)(OC[C@]1(C)O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCCCOC(=O)[C@H](C)N[P@](=O)(OC[C@]1(CC)O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)[C@@]1(CO[P@@](=O)(N[C@@H](C)C(=O)OC)Oc2ccccc2)O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,False,RemdesivirOnly_gen2
CCC(C)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@]1(C)O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCCCOC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@]1(O)CC)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)[C@@]1(O)[C@@H](O)[C@](C#N)(c2ccc3c(N)ncnn23)O[C@@H]1CO[P@@](=O)(N[C@@H](C)C(=O)OC)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(C)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@@](C)(O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCCCOC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@](O)(CC)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)[C@]1(O)[C@H](O)[C@@H](CO[P@@](=O)(N[C@@H](C)C(=O)OC)Oc2ccccc2)O[C@@]1(C#N)c1ccc2c(N)ncnn12,False,RemdesivirOnly_gen2
CCC(C)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2c(C)cc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCCCOC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2c(CC)cc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)c1cc2c(N)ncnn2c1[C@]1(C#N)O[C@H](CO[P@@](=O)(N[C@@H](C)C(=O)OC)Oc2ccccc2)[C@@H](O)[C@H]1O,False,RemdesivirOnly_gen2
CCC(C)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2cc(C)c3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCCCOC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2cc(CC)c3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)c1cc([C@]2(C#N)O[C@H](CO[P@@](=O)(N[C@@H](C)C(=O)OC)Oc3ccccc3)[C@@H](O)[C@H]2O)n2ncnc(N)c12,False,RemdesivirOnly_gen2
CCC(C)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)nc(C)nn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCCCOC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)nc(CC)nn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)c1nc(N)c2ccc([C@]3(C#N)O[C@H](CO[P@@](=O)(N[C@@H](C)C(=O)OC)Oc4ccccc4)[C@@H](O)[C@H]3O)n2n1,False,RemdesivirOnly_gen2
CCC(C)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1C,False,RemdesivirOnly_gen2
CCCCOC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1CC,False,RemdesivirOnly_gen2
CCC(CC)c1ccccc1O[P@](=O)(N[C@@H](C)C(=O)OC)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,False,RemdesivirOnly_gen2
CCC(C)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1cccc(C)c1,False,RemdesivirOnly_gen2
CCCCOC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1cccc(CC)c1,False,RemdesivirOnly_gen2
CCC(CC)c1cccc(O[P@](=O)(N[C@@H](C)C(=O)OC)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O)[C@@H]2O)c1,False,RemdesivirOnly_gen2
CCC(C)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccc(C)cc1,False,RemdesivirOnly_gen2
CCCCOC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccc(CC)cc1,False,RemdesivirOnly_gen2
CCC(CC)c1ccc(O[P@](=O)(N[C@@H](C)C(=O)OC)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O)[C@@H]2O)cc1,False,RemdesivirOnly_gen2
CCC(CC)COC1=Nc2ncnn3c(ccc23)[C@]2(C#N)O[C@H](CO[P@](=O)(Oc3ccccc3)N[C@H]1C)[C@@H](O)[C@H]2O,False,RemdesivirOnly_gen2
CCC1CCO[C@@H]2[C@H](O)[C@@H](CO[P@](=O)(Oc3ccccc3)N[C@@H](C)C(O)OC1)O[C@@]2(C#N)c1ccc2c(N)ncnn12,False,RemdesivirOnly_gen2
CCC1CCO[C@H]2[C@@H](O)[C@](C#N)(c3ccc4c(N)ncnn34)O[C@@H]2CO[P@](=O)(Oc2ccccc2)N[C@@H](C)C(O)OC1,False,RemdesivirOnly_gen2
CCC1COC(O)[C@H](C)N[P@@](=O)(Oc2ccccc2)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](OC1C)[C@@H]2O,False,RemdesivirOnly_gen2
CCC1COC(O)[C@H](C)N[P@@](=O)(Oc2ccccc2)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O)[C@@H]2OC1C,False,RemdesivirOnly_gen2
CCC1(CC)COC(O)[C@H](C)N[P@@](=O)(Oc2ccccc2)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O1)[C@@H]2O,False,RemdesivirOnly_gen2
CCC1(CC)COC(O)[C@H](C)N[P@@](=O)(Oc2ccccc2)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O)[C@@H]2O1,False,RemdesivirOnly_gen2
CCC(CC)C1OC(O)[C@H](C)N[P@@](=O)(Oc2ccccc2)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O1)[C@@H]2O,False,RemdesivirOnly_gen2
CCC(CC)C1OC(O)[C@H](C)N[P@@](=O)(Oc2ccccc2)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O)[C@@H]2O1,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@@]1(C)N[P@@](=O)(Oc2ccccc2)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O1)[C@@H]2O,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@@]1(C)N[P@@](=O)(Oc2ccccc2)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O)[C@@H]2O1,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@@H]1CO[C@@H]2[C@H](O)[C@@H](CO[P@](=O)(Oc3ccccc3)N1)O[C@@]2(C#N)c1ccc2c(N)ncnn12,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@@H]1CO[C@H]2[C@@H](O)[C@](C#N)(c3ccc4c(N)ncnn34)O[C@@H]2CO[P@](=O)(Oc2ccccc2)N1,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OC1O[C@@H]2[C@H](O)[C@@H]1O[C@@]2(C#N)c1ccc2c(N)ncnn12,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OC1O[C@@H]2[C@@H]1O[C@@](C#N)(c1ccc3c(N)ncnn13)[C@@H]2O,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@H](C)N[P@](=O)(OC[C@@]12O[C@H]([C@@H]1O)[C@](C#N)(c1ccc3c(N)ncnn13)O2)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@H](C)N[P@](=O)(OC[C@@]12O[C@H]1[C@@H](O)[C@](C#N)(c1ccc3c(N)ncnn13)O2)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@@H]2O[C@@]21O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@]2(O)O[C@H]12)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@]2(C#N)c3c(cc4c(N)ncnn34)O[C@@H]2[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@]2(C#N)c3c(cc4c(N)ncnn34)O[C@H]1[C@H]2O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@]2(C#N)c3cc(c4c(N)ncnn34)O[C@@H]2[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@]2(C#N)c3cc(c4c(N)ncnn34)O[C@H]1[C@H]2O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@]2(C#N)c3ccc4c(N)nc(nn34)O[C@@H]2[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@]2(C#N)c3ccc4c(N)nc(nn34)O[C@H]1[C@H]2O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@H](C)N[P@]1(=O)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](Oc3ccccc3O1)[C@@H]2O,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@H](C)N[P@]1(=O)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O)[C@@H]2Oc2ccccc2O1,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@H](C)N[P@]1(=O)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](Oc3cccc(c3)O1)[C@@H]2O,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@H](C)N[P@]1(=O)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O)[C@@H]2Oc2cccc(c2)O1,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@H](C)N[P@]1(=O)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](Oc3ccc(cc3)O1)[C@@H]2O,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@H](C)N[P@]1(=O)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O)[C@@H]2Oc2ccc(cc2)O1,False,RemdesivirOnly_gen2
CCC(CC)COC1=[N+]([P@](=O)(OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O)[C@@H]2O)Oc2ccccc2)[C@H]1C,False,RemdesivirOnly_gen2
Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)[C@H](C)N[P@]1(=O)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O1)[C@@H]2O,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)[C@H](C)N[P@]1(=O)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O)[C@@H]2O1,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)[C@H](C)N1c2ncnn3c(ccc23)[C@]2(C#N)O[C@H](CO[P@]1(=O)Oc1ccccc1)[C@@H](O)[C@H]2O,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](OP(=O)(O)O)[C@@H]1O)Oc1ccccc1,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1OP(=O)(O)O)Oc1ccccc1,False,RemdesivirOnly_gen2
