SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
CCC(COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccc(C)cc1)C(C)C,False,C28H37N6O8P,616.241,43
CCC(COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccc(C(C)C)cc1)C(C)C,False,C30H41N6O8P,644.2723,45
CCc1ccc(O[P@](=O)(NCC(=O)OCC(CC)C(C)C)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O)[C@@H]2O)cc1,False,C29H39N6O8P,630.2567,44
CCC(COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccc(C(CC)C(C)C)cc1)C(C)C,False,C33H47N6O8P,686.3193,48
CCC(COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2c(C(=O)OCC(CC)C(C)C)cc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(C)C,False,C35H49N6O10P,744.3248,52
CCC(COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2c(C)cc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(C)C,False,C28H37N6O8P,616.241,43
CCC(COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2c(C(C)C)cc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(C)C,False,C30H41N6O8P,644.2723,45
CCc1cc2c(N)ncnn2c1[C@]1(C#N)O[C@H](CO[P@@](=O)(NCC(=O)OCC(CC)C(C)C)Oc2ccccc2)[C@@H](O)[C@H]1O,False,C29H39N6O8P,630.2567,44
CCC(COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2c(C(CC)C(C)C)cc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(C)C,False,C33H47N6O8P,686.3193,48
CCC(COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2cc(C(=O)OCC(CC)C(C)C)c3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(C)C,False,C35H49N6O10P,744.3248,52
CCC(COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2cc(C)c3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(C)C,False,C28H37N6O8P,616.241,43
CCC(COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2cc(C(C)C)c3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(C)C,False,C30H41N6O8P,644.2723,45
CCc1cc([C@]2(C#N)O[C@H](CO[P@@](=O)(NCC(=O)OCC(CC)C(C)C)Oc3ccccc3)[C@@H](O)[C@H]2O)n2ncnc(N)c12,False,C29H39N6O8P,630.2567,44
CCC(COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2cc(C(CC)C(C)C)c3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(C)C,False,C33H47N6O8P,686.3193,48
CCC(COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)nc(C(=O)OCC(CC)C(C)C)nn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(C)C,False,C35H49N6O10P,744.3248,52
CCC(COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)nc(C)nn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(C)C,False,C28H37N6O8P,616.241,43
CCC(COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)nc(C(C)C)nn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(C)C,False,C30H41N6O8P,644.2723,45
CCc1nc(N)c2ccc([C@]3(C#N)O[C@H](CO[P@@](=O)(NCC(=O)OCC(CC)C(C)C)Oc4ccccc4)[C@@H](O)[C@H]3O)n2n1,False,C29H39N6O8P,630.2567,44
CCC(COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)nc(C(CC)C(C)C)nn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(C)C,False,C33H47N6O8P,686.3193,48
CCC(COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1OC(=O)CN[P@](=O)(O)Oc1ccccc1)Oc1ccccc1)C(C)C,False,C35H43N7O12P2,815.2445,56
CCC(COC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)C(C)C,False,C19H27N5O4,389.2063,28
CCC(COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](OC(=O)CN[P@](=O)(O)Oc2ccccc2)[C@@H]1O)Oc1ccccc1)C(C)C,False,C35H43N7O12P2,815.2445,56
CCC(C)(CC)COC(=O)C(O[P@@](=O)(NC)Oc1ccccc1)[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,False,C27H35N6O8P,602.2254,42
CCC(C)(CC)COC(=O)[C@@]1(CO[P@@](=O)(NC)Oc2ccccc2)O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,False,C27H35N6O8P,602.2254,42
CCC(C)(CC)COC(=O)c1ccccc1O[P@](=O)(NC)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,False,C27H35N6O8P,602.2254,42
CCC(C)(CC)COC(=O)[C@@]1(O)[C@@H](O)[C@](C#N)(c2ccc3c(N)ncnn23)O[C@@H]1CO[P@@](=O)(NC)Oc1ccccc1,False,C27H35N6O8P,602.2254,42
CCC(C)(CC)COC(=O)c1cccc(O[P@](=O)(NC)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O)[C@@H]2O)c1,False,C27H35N6O8P,602.2254,42
CCC(C)(CC)COC(=O)[C@]1(O)[C@H](O)[C@@H](CO[P@@](=O)(NC)Oc2ccccc2)O[C@@]1(C#N)c1ccc2c(N)ncnn12,False,C27H35N6O8P,602.2254,42
CCC(C)(CC)COC(=O)c1ccc(O[P@](=O)(NC)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O)[C@@H]2O)cc1,False,C27H35N6O8P,602.2254,42
CCC(C)(CC)COC(=O)c1cc2c(N)ncnn2c1[C@]1(C#N)O[C@H](CO[P@@](=O)(NC)Oc2ccccc2)[C@@H](O)[C@H]1O,False,C27H35N6O8P,602.2254,42
CCC(C)(CC)COC(=O)c1cc([C@]2(C#N)O[C@H](CO[P@@](=O)(NC)Oc3ccccc3)[C@@H](O)[C@H]2O)n2ncnc(N)c12,False,C27H35N6O8P,602.2254,42
CCC(C)(CC)COC(=O)c1nc(N)c2ccc([C@]3(C#N)O[C@H](CO[P@@](=O)(NC)Oc4ccccc4)[C@@H](O)[C@H]3O)n2n1,False,C27H35N6O8P,602.2254,42
CCC(C)(C)COC(=O)C(C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,C27H35N6O8P,602.2254,42
CCC(C)(CC)C(N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OC,False,C27H35N6O8P,602.2254,42
CCC(CC)(CCN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)COC=O,False,C27H35N6O8P,602.2254,42
