starter_idx,starter_smiles,status,num_molecules,num_targets,time_seconds,error
0,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,success,300,281,245.61,
1,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,success,300,281,244.94,
2,CC(=O)Nc1ccc(C(=O)O)cc1.CC(=O)Nc1ccc(C(=O)O)cc1.CC(=O)Nc1ccc(C(=O)O)cc1.CC(O)CN(C)C.CC(O)CN(C)C.CC(O)CN(C)C.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,success,42,26,85.97,
3,O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,success,302,283,254.73,
4,O=c1[nH]cnc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@@H]1O,success,300,281,322.49,
5,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,success,300,281,254.6,
6,Cn1c[n+](C2O[C@H](CO)[C@@H](O)[C@H]2O)c2nc[nH]c(=O)c21,success,352,333,389.78,
7,O=c1[nH]cnc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O,success,300,281,326.69,
8,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@H](O)C1O,success,301,282,269.41,
9,Cn1c[n+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2nc[nH]c(=O)c21,success,351,332,293.5,
10,[3H]C(O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O,success,271,252,237.28,
11,O=c1[nH]cnc2c1ncn2[C@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,success,300,281,266.85,
12,CC(=O)Nc1ccc(C(=O)O)cc1.CC(O)CN(C)C.Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,success,42,26,73.98,
