SMILES,Is_Starter,SourceDirectories
C1=C(/C(=C\C=O)/OC1=O)N,True,BasidalinOnly_gen2
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,False,BasidalinOnly_gen2
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,False,BasidalinOnly_gen2
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C,False,BasidalinOnly_gen2
Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]1O)c1[nH]c(=O)[nH]c(=O)c1N2,False,BasidalinOnly_gen2
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,False,BasidalinOnly_gen2
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,False,BasidalinOnly_gen2
NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,False,BasidalinOnly_gen2
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](OP(=O)(O)O)[C@H]1O,False,BasidalinOnly_gen2
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O,False,BasidalinOnly_gen2
C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,False,BasidalinOnly_gen2
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,False,BasidalinOnly_gen2
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,BasidalinOnly_gen2
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,BasidalinOnly_gen2
*c1c(*)c(O)c(*)c(*)c1O,False,BasidalinOnly_gen2
*C1=C(*)C(=O)C(*)=C(*)C1=O,False,BasidalinOnly_gen2
CC(C)=CCOP(=O)(O)OP(=O)(O)O,False,BasidalinOnly_gen2
*C(=O)CC[C@H](NC(=O)c1ccc(N(C=O)C[C@H]2CNc3nc(N)[nH]c(=O)c3N2)cc1)C(=O)O,False,BasidalinOnly_gen2
*C(=O)CC[C@H](NC(=O)c1ccc(NC[C@H]2CNc3nc(N)[nH]c(=O)c3N2)cc1)C(=O)O,False,BasidalinOnly_gen2
[O]C1=C(O)C(=O)O[C@@H]1[C@@H](O)CO,False,BasidalinOnly_gen2
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,False,BasidalinOnly_gen2
*C(=O)[C@H](C)OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)Cn1c2nc(=O)[nH]c(=O)c-2cc2ccc(O)cc21,False,BasidalinOnly_gen2
*C(=O)[C@H](C)OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)CN1c2cc(O)ccc2Cc2c1[nH]c(=O)[nH]c2=O,False,BasidalinOnly_gen2
CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,False,BasidalinOnly_gen2
C#[O+],False,BasidalinOnly_gen2
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,False,BasidalinOnly_gen2
F,False,BasidalinOnly_gen2
NC1=CC(=O)O/C1=C/C=O,False,BasidalinOnly_gen2
C=C1OC(=O)C(C=O)=C1N,False,BasidalinOnly_gen2
O=C1C=C2N=CC=C2O1,False,BasidalinOnly_gen2
O=C/C=c1/oc2cc1n2,False,BasidalinOnly_gen2
NC1=CC(=O)OC1=C=C=O,False,BasidalinOnly_gen2
NC1=CC(=O)O/C1=C/CO,False,BasidalinOnly_gen2
NC1=CC(=O)OC1CC=O,False,BasidalinOnly_gen2
C/C(C=O)=C1\OC(=O)C=C1N,False,BasidalinOnly_gen2
CC(=O)/C=C1/OC(=O)C=C1N,False,BasidalinOnly_gen2
CC(=O)NC1=CC(=O)O/C1=C/C=O,False,BasidalinOnly_gen2
N#CC(O)/C=C1/OC(=O)C=C1N,False,BasidalinOnly_gen2
NC1=CC(=O)OC1(N)CC=O,False,BasidalinOnly_gen2
NC/C=C1/OC(=O)C=C1N,False,BasidalinOnly_gen2
NC1=CC(=O)O/C1=C(\O)C=O,False,BasidalinOnly_gen2
NC1=CC(=O)O/C1=C/C(=O)O,False,BasidalinOnly_gen2
NC1=CC(=O)OC12OC2C=O,False,BasidalinOnly_gen2
NC1=CC(=O)OC1=COC=O,False,BasidalinOnly_gen2
NC1=CC(=O)OC1(O)CC=O,False,BasidalinOnly_gen2
NC1=CC(O)O/C1=C/C(=O)O,False,BasidalinOnly_gen2
NC1=CC(=O)O/C1=C(\O)CO,False,BasidalinOnly_gen2
NC1=CC(O)O/C1=C(\O)C=O,False,BasidalinOnly_gen2
NC(=CC(=O)O)C(=O)CC=O,False,BasidalinOnly_gen2
C=C1OC(=O)C=C1N,False,BasidalinOnly_gen2
NC1=C(C=O)C(=O)O/C1=C/C=O,False,BasidalinOnly_gen2
NC1=CC(=O)OC1=C(C=O)C=O,False,BasidalinOnly_gen2
NC1=CC(=O)O/C1=C/C(=O)C=O,False,BasidalinOnly_gen2
C=C1OC(=O)C2=C1N=C2,False,BasidalinOnly_gen2
C=c1oc2nc1c2C=O,False,BasidalinOnly_gen2
C=C1OC(=O)C(CO)=C1N,False,BasidalinOnly_gen2
C=C1OC(=O)C(C=O)=C1NC(C)=O,False,BasidalinOnly_gen2
C=C1OC(=O)C(C(O)C#N)=C1N,False,BasidalinOnly_gen2
C=C1OC(O)C(C(=O)O)=C1N,False,BasidalinOnly_gen2
