SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
CC(O)O[C@@H]1[C@@H](CO)O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@]12CO2,False,C13H16N4O7,340.1019,24
CC(O)O[C@@H]1[C@H]2COC[C@@]1(O)[C@H](n1cnc3c(=O)[nH]c(=O)[nH]c31)O2,False,C13H16N4O7,340.1019,24
C[C@]12OCC(O)O[C@@H]1[C@@H](CO)O[C@H]2n1cnc2c(=O)[nH]c(=O)[nH]c21,False,C13H16N4O7,340.1019,24
C[C@]1(O)[C@@H]2OC(O)COC[C@H]2O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,False,C13H16N4O7,340.1019,24
C[C@]1(O)[C@H](OC(=O)CC(=O)O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,False,C14H16N4O9,384.0917,27
C[C@]1(O)[C@H](OC(=O)CO)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,False,C13H16N4O8,356.0968,25
COC(=O)O[C@@H]1[C@@H](CO)O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@@]1(C)O,False,C13H16N4O8,356.0968,25
C[C@]1(O)[C@H](OC(O)CO)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,False,C13H18N4O8,358.1125,25
CC[C@]1(O)[C@H](OC(C)=O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,False,C14H18N4O7,354.1175,25
CC(=O)O[C@@H]1[C@@H](CO)O[C@](C)(n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@@]1(C)O,False,C14H18N4O7,354.1175,25
CC(=O)O[C@H]1[C@](C)(O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@]1(C)CO,False,C14H18N4O7,354.1175,25
CC(=O)O[C@@H]1[C@@H](C(C)O)O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@@]1(C)O,False,C14H18N4O7,354.1175,25
CC(=O)O[C@@H]1[C@@H](CO)O[C@@H](n2c(C)nc3c(=O)[nH]c(=O)[nH]c32)[C@@]1(C)O,False,C14H18N4O7,354.1175,25
CC(=O)O[C@H]1[C@@H](O)[C@@](CO)(n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1C,False,C13H16N4O7,340.1019,24
C[C@]1(n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@](C)(CO)[C@@H](OC=O)[C@H]1O,False,C13H16N4O7,340.1019,24
Cc1nc2c(=O)[nH]c(=O)[nH]c2n1[C@@H]1O[C@@](C)(CO)[C@@H](OC=O)[C@H]1O,False,C13H16N4O7,340.1019,24
CC(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)OC12COC2,False,C13H16N4O7,340.1019,24
CC(O)O[C@H]1[C@H]2OC[C@@]1(CO)O[C@H]2n1cnc2c(=O)[nH]c(=O)[nH]c21,False,C13H16N4O7,340.1019,24
C[C@]12COCC(O)O[C@H]1[C@@H](O)[C@H](n1cnc3c(=O)[nH]c(=O)[nH]c31)O2,False,C13H16N4O7,340.1019,24
C[C@@]1(CO)O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@@H]2OCC(O)O[C@@H]21,False,C13H16N4O7,340.1019,24
C[C@@]1(CO)O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1OC(=O)CC(=O)O,False,C14H16N4O9,384.0917,27
C[C@@]1(CO)O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1OC(=O)CO,False,C13H16N4O8,356.0968,25
COC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@]1(C)CO,False,C13H16N4O8,356.0968,25
C[C@@]1(CO)O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1OC(O)CO,False,C13H18N4O8,358.1125,25
CC[C@@]1(CO)O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1OC(C)=O,False,C14H18N4O7,354.1175,25
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@]1(C)C(C)O,False,C14H18N4O7,354.1175,25
CC(=O)O[C@H]1[C@@H](O)[C@@](C)(n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@]1(C)CO,False,C14H18N4O7,354.1175,25
