SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
O=c1[nH]cnc2c1ncn2[C@@H]1OC[C@]2(CO)OC(O)CO[C@@H]12,False,C12H14N4O6,310.0913,22
O=c1[nH]cnc2c1nc(CO)n2[C@@H]1OC[C@H]2OC(O)CO[C@@H]12,False,C12H14N4O6,310.0913,22
O=c1[nH]c(CO)nc2c1ncn2[C@@H]1OC[C@H]2OC(O)CO[C@@H]12,False,C12H14N4O6,310.0913,22
COC1CO[C@@H]2[C@H](O1)[C@@H](CO)O[C@H]2n1cnc2c(=O)[nH]cnc21,False,C13H16N4O6,324.107,23
CC(=O)OC1CO[C@@H]2[C@H](O1)[C@@H](CO)O[C@H]2n1cnc2c(=O)[nH]cnc21,False,C14H16N4O7,352.1019,25
C[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@@H]2OCC(O)O[C@@H]21,False,C12H14N4O5,294.0964,21
O=C(O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@@H]2OCC(O)O[C@@H]21,False,C12H12N4O7,324.0706,23
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@H]2OC(OC(O)CO)CO[C@H]21,False,C14H18N4O8,370.1125,26
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@H]2O[C@H]21,False,C10H10N4O4,250.0702,18
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@H]2OC(OCC(O)O)CO[C@H]21,False,C14H18N4O8,370.1125,26
COC1COC[C@H]2O[C@@H](n3cnc4c(=O)[nH]cnc43)[C@H](O)[C@@H]2O1,False,C13H16N4O6,324.107,23
CC(=O)OC1COC[C@H]2O[C@@H](n3cnc4c(=O)[nH]cnc43)[C@H](O)[C@@H]2O1,False,C14H16N4O7,352.1019,25
CC(=O)O[C@@H]1[C@@H]2OC(O)COC[C@H]2O[C@H]1n1cnc2c(=O)[nH]cnc21,False,C14H16N4O7,352.1019,25
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@@H]2COCC(OC(O)CO)O[C@H]2[C@H]1O,False,C14H18N4O8,370.1125,26
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@@H]2COCC(O)O[C@H]2[C@H]1OC(O)CO,False,C14H18N4O8,370.1125,26
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@@H]2COCC(OCC(O)O)O[C@H]2[C@H]1O,False,C14H18N4O8,370.1125,26
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@@H]2COCC(O)O[C@H]2[C@H]1OCC(O)O,False,C14H18N4O8,370.1125,26
CC(O)(CO)O[C@@]12CO[C@@H](n3cnc4c(=O)[nH]cnc43)[C@@H]1O2,False,C12H14N4O6,310.0913,22
CC(O)O[C@@]12CO[C@@H](n3cnc4c(=O)[nH]cnc43)[C@@]1(CO)O2,False,C12H14N4O6,310.0913,22
CC(O)O[C@@]12CO[C@@H](n3c(CO)nc4c(=O)[nH]cnc43)[C@@H]1O2,False,C12H14N4O6,310.0913,22
CC(O)O[C@@]12CO[C@@H](n3cnc4c(=O)[nH]c(CO)nc43)[C@@H]1O2,False,C12H14N4O6,310.0913,22
O=c1[nH]cnc2c1ncn2[C@@H]1OC[C@@]2(OC(O)CCO)O[C@@H]12,False,C12H14N4O6,310.0913,22
O=CO[C@]12O[C@H]1[C@H](n1cnc3c(=O)[nH]cnc31)O[C@@H]2CO,False,C11H10N4O6,294.06,21
CCO[C@]12O[C@H]1[C@H](n1cnc3c(=O)[nH]cnc31)O[C@@H]2C=O,False,C12H12N4O5,292.0808,21
COC(C)O[C@]12O[C@H]1[C@H](n1cnc3c(=O)[nH]cnc31)O[C@@H]2CO,False,C13H16N4O6,324.107,23
CC(C)(O)O[C@]12O[C@H]1[C@H](n1cnc3c(=O)[nH]cnc31)O[C@@H]2CO,False,C13H16N4O6,324.107,23
CCC(O)O[C@]12O[C@H]1[C@H](n1cnc3c(=O)[nH]cnc31)O[C@@H]2CO,False,C13H16N4O6,324.107,23
CC(=O)OC(C)O[C@]12O[C@H]1[C@H](n1cnc3c(=O)[nH]cnc31)O[C@@H]2CO,False,C14H16N4O7,352.1019,25
