SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
CC(O)(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C12H17N5O7,343.1128,24
CC(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1C,False,C12H17N5O5,311.123,22
CC(O)O[C@@H]1[C@H](OC(C)O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,C14H21N5O7,371.1441,26
CC(O)OC(C)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C14H21N5O7,371.1441,26
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](OCO)[C@H]2O)c(=O)[nH]1,False,C11H15N5O6,313.1022,22
CC(O)O[C@@]1(C)[C@@H](CO)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@@H]1O,False,C13H19N5O6,341.1335,24
CC(O)O[C@@H]1[C@@H](CO)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@@]1(C)O,False,C13H19N5O6,341.1335,24
CC(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@]1(C)CO,False,C13H19N5O6,341.1335,24
CC(O)O[C@H]1[C@@H](O)[C@@](C)(n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C13H19N5O6,341.1335,24
CC(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1C(C)O,False,C13H19N5O6,341.1335,24
Cc1nc2c(=O)[nH]c(N)nc2n1[C@@H]1O[C@H](CO)[C@@H](OC(C)O)[C@H]1O,False,C13H19N5O6,341.1335,24
CCO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1COP(=O)(O)O,False,C12H18N5O8P,391.0893,26
CCO[C@H]1[C@@H](OP(=O)(O)O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C12H18N5O8P,391.0893,26
CCO[C@H]1[C@@H](OS(=O)(=O)O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C12H17N5O8S,391.0798,26
CCO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1COS(=O)(=O)O,False,C12H17N5O8S,391.0798,26
CC(C)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C13H19N5O5,325.1386,23
CCCO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C13H19N5O5,325.1386,23
CC(O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO)C(=O)O,False,C13H17N5O7,355.1128,25
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](OCCC(=O)O)[C@H]2O)c(=O)[nH]1,False,C13H17N5O7,355.1128,25
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](OCCO)[C@H]2O)c(=O)[nH]1,False,C12H17N5O6,327.1179,23
CCO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1C,False,C12H17N5O4,295.1281,21
