recordIndex,PUBCHEM_COMPOUND_CID,PUBCHEM_COMPOUND_CANONICALIZED,PUBCHEM_CACTVS_COMPLEXITY,PUBCHEM_CACTVS_HBOND_ACCEPTOR,PUBCHEM_CACTVS_HBOND_DONOR,PUBCHEM_CACTVS_ROTATABLE_BOND,PUBCHEM_CACTVS_SUBSKEYS,PUBCHEM_IUPAC_OPENEYE_NAME,PUBCHEM_IUPAC_CAS_NAME,PUBCHEM_IUPAC_NAME_MARKUP,PUBCHEM_IUPAC_NAME,PUBCHEM_IUPAC_SYSTEMATIC_NAME,PUBCHEM_IUPAC_TRADITIONAL_NAME,PUBCHEM_IUPAC_INCHI,PUBCHEM_IUPAC_INCHIKEY,PUBCHEM_XLOGP3,PUBCHEM_EXACT_MASS,PUBCHEM_MOLECULAR_FORMULA,PUBCHEM_MOLECULAR_WEIGHT,PUBCHEM_CACTVS_TPSA,PUBCHEM_MONOISOTOPIC_WEIGHT,PUBCHEM_TOTAL_CHARGE,PUBCHEM_HEAVY_ATOM_COUNT,PUBCHEM_ATOM_DEF_STEREO_COUNT,PUBCHEM_ATOM_UDEF_STEREO_COUNT,PUBCHEM_BOND_DEF_STEREO_COUNT,PUBCHEM_BOND_UDEF_STEREO_COUNT,PUBCHEM_ISOTOPIC_ATOM_COUNT,PUBCHEM_COMPONENT_COUNT,PUBCHEM_CACTVS_TAUTO_COUNT,PUBCHEM_COORDINATE_TYPE,PUBCHEM_BONDANNOTATIONS,smiles,inchiKey,PUBCHEM_XLOGP3_AA,PUBCHEM_NONSTANDARDBOND,Canonical_SMILES
-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,UGQMRVRMYYASKQ-KQYNXXCUSA-N,,,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
0,135398641,1,405,7,4,2,AAADccBzuAAAAAAAAAAAAAAAAAAAAWJAAAAgAAAAAAAAAEABgAAAHgAQCAAACBzhlgYFsBfMFgCoAQdxdACAgC0XEKABUIGoVECDWApAyCAeQIgPAgLTAGDwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-1H-purin-6-one","9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)-2-oxolanyl]-1H-purin-6-one","9-[(2<I>R</I>,3<I>R</I>,4<I>S</I>,5<I>R</I>)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1<I>H</I>-purin-6-one","9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","9-[(2R,3R,4S,5R)-5-(hydroxymethyl)-3,4-bis(oxidanyl)oxolan-2-yl]-1H-purin-6-one","9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-methylol-tetrahydrofuran-2-yl]hypoxanthine","InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1",UGQMRVRMYYASKQ-KQYNXXCUSA-N,-1.3,268.08076950,C10H12N4O5,268.23,129,268.08076950,0,19,4,0,0,0,0,1,-1,"1
5
255","13  14  6
15  17  8
17  18  8
10  2  5
12  3  5
11  6  6
6  15  8
6  16  8
7  16  8
7  17  8
8  15  8
8  19  8
9  18  8
9  19  8",[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],UGQMRVRMYYASKQ-KQYNXXCUSA-N,,,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
1,135449284,1,658,22,13,14,AAADcfB//gAAAAAAAAAAAAAAAAAAAWJAAAAwYMEAAAAAAEAB1AAAHgAQCAAADBzhngY3+JfMFgCoAyfzfACCgC03EqAJ2IGofMiLfjrA3bGecYhv1gPb2ef4+SOeCAAAAAAAAAAQAAAAAAAAAAAAAAAAAA==,"tris(4-acetamidobenzoic acid);9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-1H-purin-6-one;tris(1-(dimethylamino)propan-2-ol)","tris(4-acetamidobenzoic acid);9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)-2-oxolanyl]-1H-purin-6-one;tris(1-(dimethylamino)-2-propanol)","tris(4-acetamidobenzoic acid);9-[(2<I>R</I>,3<I>R</I>,4<I>S</I>,5<I>R</I>)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1<I>H</I>-purin-6-one;tris(1-(dimethylamino)propan-2-ol)","tris(4-acetamidobenzoic acid);9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one;tris(1-(dimethylamino)propan-2-ol)","tris(4-acetamidobenzoic acid);tris(1-(dimethylamino)propan-2-ol);9-[(2R,3R,4S,5R)-5-(hydroxymethyl)-3,4-bis(oxidanyl)oxolan-2-yl]-1H-purin-6-one","tris(4-acetamidobenzoic acid);9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-methylol-tetrahydrofuran-2-yl]hypoxanthine;tris(1-(dimethylamino)propan-2-ol)","InChI=1S/C10H12N4O5.3C9H9NO3.3C5H13NO/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18;3*1-6(11)10-8-4-2-7(3-5-8)9(12)13;3*1-5(7)4-6(2)3/h2-4,6-7,10,15-17H,1H2,(H,11,12,18);3*2-5H,1H3,(H,10,11)(H,12,13);3*5,7H,4H2,1-3H3/t4-,6-,7-,10-;;;;;;/m1....../s1",YLDCUKJMEKGGFI-QCSRICIXSA-N,,1114.55464106,C52H78N10O17,1115.2,399,1114.55464106,0,79,4,3,0,0,0,7,-1,"1
5
255","30  18  6
18  33  8
18  34  8
19  34  8
19  35  8
28  2  5
20  33  8
20  37  8
21  36  8
21  37  8
29  3  5
31  32  6
33  35  8
35  36  8
53  59  8
53  62  8
54  60  8
54  63  8
55  61  8
55  64  8
56  65  8
56  68  8
57  66  8
57  69  8
58  67  8
58  70  8
59  65  8
41  6  3
60  66  8
61  67  8
62  68  8
63  69  8
64  70  8
42  7  3
43  8  3",[H]OC(=O)c1c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c([H])c1[H].[H]OC(=O)c1c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c([H])c1[H].[H]OC(=O)c1c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c([H])c1[H].[H]OC([H])(C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H].[H]OC([H])(C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H].[H]OC([H])(C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H].[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],YLDCUKJMEKGGFI-QCSRICIXSA-N,,,CC(=O)Nc1ccc(C(=O)O)cc1.CC(=O)Nc1ccc(C(=O)O)cc1.CC(=O)Nc1ccc(C(=O)O)cc1.CC(O)CN(C)C.CC(O)CN(C)C.CC(O)CN(C)C.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
2,135402037,1,405,7,4,2,AAADccBzuAAAAAAAAAAAAAAAAAAAAWJAAAAgAAAAAAAAAEABgAAAHgAQCAAACBzhlgYFsBfMFgCoAQdxdACAgC0XEKABUIGoVECDWApAyCAeQIgPAgLTAGDwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"9-[3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-1H-purin-6-one","9-[3,4-dihydroxy-5-(hydroxymethyl)-2-oxolanyl]-1H-purin-6-one","9-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1<I>H</I>-purin-6-one","9-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","9-[5-(hydroxymethyl)-3,4-bis(oxidanyl)oxolan-2-yl]-1H-purin-6-one","9-(3,4-dihydroxy-5-methylol-tetrahydrofuran-2-yl)hypoxanthine","InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)",UGQMRVRMYYASKQ-UHFFFAOYSA-N,-1.3,268.08076950,C10H12N4O5,268.23,129,268.08076950,0,19,0,4,0,0,0,1,-1,"1
5
255","10  20  3
11  21  3
12  22  3
13  23  3
15  17  8
17  18  8
6  15  8
6  16  8
7  16  8
7  17  8
8  15  8
8  19  8
9  18  8
9  19  8",[H]OC([H])([H])C1([H])OC([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)C([H])(O[H])C1([H])O[H],UGQMRVRMYYASKQ-UHFFFAOYSA-N,,,O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O
3,135992491,1,405,7,4,2,AAADccBzuAAAAAAAAAAAAAAAAAAAAWJAAAAgAAAAAAAAAEABgAAAHgAQCAAACBzhlgYFsBfMFgCoAQdxdACAgC0XEKABUIGoVECDWApAyCAeQIgPAgLTAGDwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"9-[(3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-1H-purin-6-one","9-[(3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)-2-oxolanyl]-1H-purin-6-one","9-[(3<I>S</I>,4<I>S</I>,5<I>R</I>)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1<I>H</I>-purin-6-one","9-[(3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","9-[(3S,4S,5R)-5-(hydroxymethyl)-3,4-bis(oxidanyl)oxolan-2-yl]-1H-purin-6-one","9-[(3S,4S,5R)-3,4-dihydroxy-5-methylol-tetrahydrofuran-2-yl]hypoxanthine","InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7+,10?/m1/s1",UGQMRVRMYYASKQ-KBNQYOMWSA-N,-1.3,268.08076950,C10H12N4O5,268.23,129,268.08076950,0,19,3,1,0,0,0,1,-1,"1
5
255","13  14  6
15  17  8
17  18  8
10  2  6
12  3  5
11  6  3
6  15  8
6  16  8
7  16  8
7  17  8
8  15  8
8  19  8
9  18  8
9  19  8",[H]OC([H])([H])[C@@]1([H])OC([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)[C@@]([H])(O[H])[C@]1([H])O[H],UGQMRVRMYYASKQ-KBNQYOMWSA-N,,,O=c1[nH]cnc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@@H]1O
4,135410268,1,405,7,4,2,AAADccBzuAAAAAAAAAAAAAAAAAAAAWJAAAAgAAAAAAAAAEABgAAAHgAQCAAACBzhlgYFsBfMFgCoAQdxdACAgC0XEKABUIGoVECDWApAyCAeQIgPAgLTAGDwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"9-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-1H-purin-6-one","9-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)-2-oxolanyl]-1H-purin-6-one","9-[(2<I>R</I>,3<I>S</I>,4<I>S</I>,5<I>R</I>)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1<I>H</I>-purin-6-one","9-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","9-[(2R,3S,4S,5R)-5-(hydroxymethyl)-3,4-bis(oxidanyl)oxolan-2-yl]-1H-purin-6-one","9-[(2R,3S,4S,5R)-3,4-dihydroxy-5-methylol-tetrahydrofuran-2-yl]hypoxanthine","InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7+,10-/m1/s1",UGQMRVRMYYASKQ-UHTZMRCNSA-N,-1.3,268.08076950,C10H12N4O5,268.23,129,268.08076950,0,19,4,0,0,0,0,1,-1,"1
5
255","13  14  6
15  17  8
17  18  8
10  2  6
12  3  5
11  6  6
6  15  8
6  16  8
7  16  8
7  17  8
8  15  8
8  19  8
9  18  8
9  19  8",[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)[C@@]([H])(O[H])[C@]1([H])O[H],UGQMRVRMYYASKQ-UHTZMRCNSA-N,,,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
5,135616717,1,433,6,4,2,AAADccBzuAAAAAAAAAAAAAAAAAAAAWJAAAAgAAAAAAAAAEABgAAAHgAQCAAACBzhlgYHsBfMFgCoAQdxdACAgC0XEKABUIGoVECDWApAyCAeQIgPAgLTAGDwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"9-[(3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-7-methyl-1H-purin-9-ium-6-one","9-[(3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)-2-oxolanyl]-7-methyl-1H-purin-9-ium-6-one","9-[(3<I>R</I>,4<I>S</I>,5<I>R</I>)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-7-methyl-1<I>H</I>-purin-9-ium-6-one","9-[(3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-7-methyl-1H-purin-9-ium-6-one","9-[(3R,4S,5R)-5-(hydroxymethyl)-3,4-bis(oxidanyl)oxolan-2-yl]-7-methyl-1H-purin-9-ium-6-one","9-[(3R,4S,5R)-3,4-dihydroxy-5-methylol-tetrahydrofuran-2-yl]-7-methyl-1H-purin-9-ium-6-one","InChI=1S/C11H14N4O5/c1-14-4-15(9-6(14)10(19)13-3-12-9)11-8(18)7(17)5(2-16)20-11/h3-5,7-8,11,16-18H,2H2,1H3/p+1/t5-,7-,8-,11?/m1/s1",VJNXUFOTKNTNPG-YNJARDAQSA-O,,283.10424459,C11H15N4O5+,283.26,120,283.10424459,1,20,3,1,0,0,0,1,-1,"1
5
255","13  14  5
15  17  8
17  18  8
11  2  6
12  3  6
10  6  3
6  15  8
6  16  8
7  16  8
7  17  8
8  15  8
8  20  8
9  18  8
9  20  8",[H]OC([H])([H])[C@@]1([H])OC([H])([n+]2c([H])n(C([H])([H])[H])c3c(=O)n([H])c([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],VJNXUFOTKNTNPG-YNJARDAQSA-O,-2,,Cn1c[n+](C2O[C@H](CO)[C@@H](O)[C@H]2O)c2nc[nH]c(=O)c21
6,135403801,1,405,7,4,2,AAADccBzuAAAAAAAAAAAAAAAAAAAAWJAAAAgAAAAAAAAAEABgAAAHgAQCAAACBzhlgYFsBfMFgCoAQdxdACAgC0XEKABUIGoVECDWApAyCAeQIgPAgLTAGDwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"9-[(3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-1H-purin-6-one","9-[(3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)-2-oxolanyl]-1H-purin-6-one","9-[(3<I>R</I>,4<I>S</I>,5<I>R</I>)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1<I>H</I>-purin-6-one","9-[(3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","9-[(3R,4S,5R)-5-(hydroxymethyl)-3,4-bis(oxidanyl)oxolan-2-yl]-1H-purin-6-one","9-[(3R,4S,5R)-3,4-dihydroxy-5-methylol-tetrahydrofuran-2-yl]hypoxanthine","InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10?/m1/s1",UGQMRVRMYYASKQ-VTHZCTBJSA-N,-1.3,268.08076950,C10H12N4O5,268.23,129,268.08076950,0,19,3,1,0,0,0,1,-1,"1
5
255","13  14  6
15  17  8
17  18  8
10  2  5
12  3  5
11  6  3
6  15  8
6  16  8
7  16  8
7  17  8
8  15  8
8  19  8
9  18  8
9  19  8",[H]OC([H])([H])[C@@]1([H])OC([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],UGQMRVRMYYASKQ-VTHZCTBJSA-N,,,O=c1[nH]cnc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O
7,135920954,1,405,7,4,2,AAADccBzuAAAAAAAAAAAAAAAAAAAAWJAAAAgAAAAAAAAAEABgAAAHgAQCAAACBzhlgYFsBfMFgCoAQdxdACAgC0XEKABUIGoVECDWApAyCAeQIgPAgLTAGDwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"9-[(2R,4R,5R)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-1H-purin-6-one","9-[(2R,4R,5R)-3,4-dihydroxy-5-(hydroxymethyl)-2-oxolanyl]-1H-purin-6-one","9-[(2<I>R</I>,4<I>R</I>,5<I>R</I>)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1<I>H</I>-purin-6-one","9-[(2R,4R,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","9-[(2R,4R,5R)-5-(hydroxymethyl)-3,4-bis(oxidanyl)oxolan-2-yl]-1H-purin-6-one","9-[(2R,4R,5R)-3,4-dihydroxy-5-methylol-tetrahydrofuran-2-yl]hypoxanthine","InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6+,7?,10-/m1/s1",UGQMRVRMYYASKQ-PKJMTWSGSA-N,-1.3,268.08076950,C10H12N4O5,268.23,129,268.08076950,0,19,3,1,0,0,0,1,-1,"1
5
255","13  14  6
15  17  8
17  18  8
10  2  3
12  3  6
11  6  6
6  15  8
6  16  8
7  16  8
7  17  8
8  15  8
8  19  8
9  18  8
9  19  8",[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)C([H])(O[H])[C@@]1([H])O[H],UGQMRVRMYYASKQ-PKJMTWSGSA-N,,,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@H](O)C1O
8,135926583,1,433,6,4,2,AAADccBzuAAAAAAAAAAAAAAAAAAAAWJAAAAgAAAAAAAAAEABgAAAHgAQCAAACBzhlgYHsBfMFgCoAQdxdACAgC0XEKABUIGoVECDWApAyCAeQIgPAgLTAGDwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-7-methyl-1H-purin-9-ium-6-one","9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)-2-oxolanyl]-7-methyl-1H-purin-9-ium-6-one","9-[(2<I>R</I>,3<I>R</I>,4<I>S</I>,5<I>R</I>)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-7-methyl-1<I>H</I>-purin-9-ium-6-one","9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-7-methyl-1H-purin-9-ium-6-one","9-[(2R,3R,4S,5R)-5-(hydroxymethyl)-3,4-bis(oxidanyl)oxolan-2-yl]-7-methyl-1H-purin-9-ium-6-one","9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-methylol-tetrahydrofuran-2-yl]-7-methyl-1H-purin-9-ium-6-one","InChI=1S/C11H14N4O5/c1-14-4-15(9-6(14)10(19)13-3-12-9)11-8(18)7(17)5(2-16)20-11/h3-5,7-8,11,16-18H,2H2,1H3/p+1/t5-,7-,8-,11-/m1/s1",VJNXUFOTKNTNPG-IOSLPCCCSA-O,,283.10424459,C11H15N4O5+,283.26,120,283.10424459,1,20,4,0,0,0,0,1,-1,"1
5
255","13  14  6
15  17  8
17  18  8
11  2  5
12  3  5
10  6  6
6  15  8
6  16  8
7  16  8
7  17  8
8  15  8
8  20  8
9  18  8
9  20  8",[H]OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])n(C([H])([H])[H])c3c(=O)n([H])c([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],VJNXUFOTKNTNPG-IOSLPCCCSA-O,-2,,Cn1c[n+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2nc[nH]c(=O)c21
