StarterDirectory,NumPathways,PathwayNumber,AtomicEconomy,Reactant,Product,ReactionSMILES
starter_01251,4,3,0.93309266749117,CO[C@H]1C(=O)OC(=Cc2ccc(N)cc2)[C@@H]1O.OO | C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.Nc1ccc(C=C2OC(=O)[C@H](O)[C@H]2O)cc1,CO[C@H]1C(=O)OC(=Cc2ccc(N)cc2O)[C@@H]1O.O | CO[C@H]1C(=O)OC(=Cc2ccc(N)cc2)[C@@H]1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,CO[C@H]1C(=O)OC(=Cc2ccc(N)cc2)[C@@H]1O.OO>>CO[C@H]1C(=O)OC(=Cc2ccc(N)cc2O)[C@@H]1O.O | C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.Nc1ccc(C=C2OC(=O)[C@H](O)[C@H]2O)cc1>>CO[C@H]1C(=O)OC(=Cc2ccc(N)cc2)[C@@H]1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
starter_01251,4,4,0.93309266749117,CO[C@H]1C(=O)OC(=Cc2ccc(N)cc2)[C@@H]1O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O | C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.Nc1ccc(C=C2OC(=O)[C@H](O)[C@H]2O)cc1,CO[C@H]1C(=O)OC(=Cc2ccc(N)cc2O)[C@@H]1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O | CO[C@H]1C(=O)OC(=Cc2ccc(N)cc2)[C@@H]1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,CO[C@H]1C(=O)OC(=Cc2ccc(N)cc2)[C@@H]1O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O>>CO[C@H]1C(=O)OC(=Cc2ccc(N)cc2O)[C@@H]1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O | C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.Nc1ccc(C=C2OC(=O)[C@H](O)[C@H]2O)cc1>>CO[C@H]1C(=O)OC(=Cc2ccc(N)cc2)[C@@H]1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
starter_01252,1,1,0.3320015851577474,C=CC[C@H]1CC(=C)OC1=O.C=CC[C@H]1CC(=C)OC1=O | C=CC[C@H]1CC(=Cc2ccc(N)cc2)OC1=O.O,C=C1C[C@H](C)C(=O)O1.C=CC[C@]1(C=C)CC(=C)OC1=O | C=CC[C@H]1CC(=C)OC1=O.Nc1ccc(O)cc1,C=CC[C@H]1CC(=C)OC1=O.C=CC[C@H]1CC(=C)OC1=O>>C=C1C[C@H](C)C(=O)O1.C=CC[C@]1(C=C)CC(=C)OC1=O | C=CC[C@H]1CC(=Cc2ccc(N)cc2)OC1=O.O>>C=CC[C@H]1CC(=C)OC1=O.Nc1ccc(O)cc1
starter_01253,1,1,0.5657150134112272,C=C1OC(=O)[C@@H](CC)[C@H]1O | CC[C@@H]1C(=O)OC(=Cc2ccc(N)cc2)[C@@H]1O.O,C=C1OC(=O)C[C@@]1(O)CC | C=C1OC(=O)[C@@H](CC)[C@H]1O.Nc1ccc(O)cc1,C=C1OC(=O)[C@@H](CC)[C@H]1O>>C=C1OC(=O)C[C@@]1(O)CC | CC[C@@H]1C(=O)OC(=Cc2ccc(N)cc2)[C@@H]1O.O>>C=C1OC(=O)[C@@H](CC)[C@H]1O.Nc1ccc(O)cc1
starter_01254,2,1,0.8661853349823401,CC1=CC(=Cc2ccc(N)cc2)OC1=O.OO | CC1=CC(=Cc2ccc(N)cc2O)OC1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,CC1=CC(=Cc2ccc(N)cc2O)OC1=O.O | CC1=CC(=CC2=CC=C(N)C3OC23O)OC1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,CC1=CC(=Cc2ccc(N)cc2)OC1=O.OO>>CC1=CC(=Cc2ccc(N)cc2O)OC1=O.O | CC1=CC(=Cc2ccc(N)cc2O)OC1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O>>CC1=CC(=CC2=CC=C(N)C3OC23O)OC1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O
starter_01254,2,2,0.8661853349823401,CC1=CC(=Cc2ccc(N)cc2)OC1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O | CC1=CC(=Cc2ccc(N)cc2O)OC1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,CC1=CC(=Cc2ccc(N)cc2O)OC1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O | CC1=CC(=CC2=CC=C(N)C3OC23O)OC1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,CC1=CC(=Cc2ccc(N)cc2)OC1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O>>CC1=CC(=Cc2ccc(N)cc2O)OC1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O | CC1=CC(=Cc2ccc(N)cc2O)OC1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O>>CC1=CC(=CC2=CC=C(N)C3OC23O)OC1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O
starter_01255,1,1,0.5752314389472243,C=C1OC(=O)[C@@H](C(C)C)[C@H]1O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O | CC(C)[C@@H]1C(=O)OC(=Cc2ccc(N)cc2)[C@@H]1O.O,C=C1OC(=O)[C@@H](C(C)(C)O)[C@H]1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O | C=C1OC(=O)[C@@H](C(C)C)[C@H]1O.Nc1ccc(O)cc1,C=C1OC(=O)[C@@H](C(C)C)[C@H]1O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O>>C=C1OC(=O)[C@@H](C(C)(C)O)[C@H]1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O | CC(C)[C@@H]1C(=O)OC(=Cc2ccc(N)cc2)[C@@H]1O.O>>C=C1OC(=O)[C@@H](C(C)C)[C@H]1O.Nc1ccc(O)cc1
starter_01256,1,1,1.0,Nc1ccc(C=C(O)[C@@H](O)[C@H](O)C(=O)O)cc1 | Nc1ccc(C=C2OC(=O)[C@@H](O)[C@@H]2O)cc1.O,Nc1ccc(C2=C(O)[C@H]([C@H](O)C(O)O)O2)cc1 | Nc1ccc(C=C(O)[C@@H](O)[C@H](O)C(=O)O)cc1,Nc1ccc(C=C(O)[C@@H](O)[C@H](O)C(=O)O)cc1>>Nc1ccc(C2=C(O)[C@H]([C@H](O)C(O)O)O2)cc1 | Nc1ccc(C=C2OC(=O)[C@@H](O)[C@@H]2O)cc1.O>>Nc1ccc(C=C(O)[C@@H](O)[C@H](O)C(=O)O)cc1
starter_01257,1,1,0.5657150134112272,C=C1C=C(CC)C(=O)O1.O | CCC1=CC(=Cc2ccc(N)cc2)OC1=O.O,C=C1C=C(C(C)O)C(O)O1 | C=C1C=C(CC)C(=O)O1.Nc1ccc(O)cc1,C=C1C=C(CC)C(=O)O1.O>>C=C1C=C(C(C)O)C(O)O1 | CCC1=CC(=Cc2ccc(N)cc2)OC1=O.O>>C=C1C=C(CC)C(=O)O1.Nc1ccc(O)cc1
starter_01258,1,1,0.5823986591203922,C=C1C=C(CCCC)C(=O)O1 | CCCCC1=CC(=Cc2ccc(N)cc2)OC1=O.O,CCCCC=C1C=CC(=O)O1 | C=C1C=C(CCCC)C(=O)O1.Nc1ccc(O)cc1,C=C1C=C(CCCC)C(=O)O1>>CCCCC=C1C=CC(=O)O1 | CCCCC1=CC(=Cc2ccc(N)cc2)OC1=O.O>>C=C1C=C(CCCC)C(=O)O1.Nc1ccc(O)cc1
