DrugBank ID,Accession Numbers,Common name,CAS,UNII,Synonyms,Standard InChI Key,Canonical_SMILES
DB13947,DBSALT002571,Testosterone enantate benzilic acid hydrazone,18625-33-7,X8Z8A2G2Y4,Testosterone 17-enanthate 3-benzilic acid hydrazone | Testosterone enantate benzilic acid hydrazone | Testosterone enanthate benzilic acid hydrazone,PTVXYACXDYZNID-JKXGKYMWSA-N,CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=NNC(=O)C(O)(c5ccccc5)c5ccccc5)CC[C@]4(C)[C@H]3CC[C@]12C
DB13948,,"N-(2-hydroxybenzyl)-2,5-dimethoxy-4-cyanophenylethylamine",1391489-32-9,32CN2DQE3Q,"25CN-NBOH | N-(2-hydroxybenzyl)-2,5-dimethoxy-4-cyanophenylethylamine | NBOH-2C-CN",VWEDZTZAXHMZIL-UHFFFAOYSA-N,COc1cc(CCNCc2ccccc2O)c(OC)cc1C#N
DB13949,,Ferric cation,20074-52-6,91O4LML611,FE (III) ION | Fe(III) | Ferric cation | Ferric ion | iron(3+),VTLYFUHAOXGGBS-UHFFFAOYSA-N,[Fe+3]
DB13950,,WIN 55212-2,131543-22-1,5H31GI9502,"(2,3-Dihydro-5-methyl-3-((4-morpholinyl)methyl)pyrrolo-(1,2,3-de)-1,4-benzoxazin-6-yl)(1-naphthalenyl)methanone monomethanesulfonate",HQVHOQAKMCMIIM-HXUWFJFHSA-N,Cc1c(C(=O)c2cccc3ccccc23)c2cccc3c2n1[C@H](CN1CCOCC1)CO3
DB13951,DBSALT002357,Stanolone acetate,1164-91-6,63Z2Y83W8N,Androstanolone acetate | Dihydrotestosterone acetate | Stanolone acetate,ILCTUFVQFCIIDS-NGFSFWIMSA-N,CC(=O)O[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
DB13952,DBSALT000065,Estradiol acetate,4245-41-4,5R97F5H93P,E3A | Estradiol 3-acetate | Estradiol acetate | Estradiol-3-acetate,FHXBMXJMKMWVRG-SLHNCBLASA-N,CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12
DB13953,DBSALT000066,Estradiol benzoate,50-50-0,1S4CJB5ZGN,benzoato de estradiol | Estradiol benzoate,UYIFTLBWAOGQBI-BZDYCCQFSA-N,C[C@]12CC[C@@H]3c4ccc(OC(=O)c5ccccc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
DB13954,DBSALT000067,Estradiol cypionate,313-06-4,7E1DV054LO,Estradiol cypionate,UOACKFBJUYNSLK-XRKIENNPSA-N,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1
DB13955,DBSALT002570,Estradiol dienanthate,7732-97-0,65C72P1860,Estradiol dienantate | Estradiol dienanthate,OVAHZPTYWMWNKO-CAHAWPIUSA-N,CCCCCCC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OC(=O)CCCCCC)CC[C@@H]12
DB13956,DBSALT000068,Estradiol valerate,979-32-8,OKG364O896,Estradiol valerate,RSEPBGGWRJCQGY-RBRWEJTLSA-N,CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C
