SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
CC(O)O[C@@H]1[C@@H]2Oc3nc(N)c4ncn(c4n3)[C@@H]1O[C@@H]2C,False,C12H15N5O4,293.1124,21
CC(O)O[C@@H]1[C@@H]2Oc3nc(N)c4ncn(c4n3)[C@@H]1O[C@@H]2C(=O)O,False,C12H13N5O6,323.0866,23
CC(O)OC(C)O[C@@H]1[C@@H]2Oc3nc(N)c4ncn(c4n3)[C@@H]1O[C@@H]2CO,False,C14H19N5O6,353.1335,25
CC(O)O[C@@H]1[C@@H]2Oc3nc(N)c4ncn(c4n3)[C@@]1(C)O[C@@H]2CO,False,C13H17N5O5,323.123,23
Cc1nc2c(N)nc3nc2n1[C@@H]1O[C@H](CO)[C@@H](O3)[C@H]1OC(C)O,False,C13H17N5O5,323.123,23
CC(O)O[C@@]1(C)[C@@H]2Oc3nc(N)c4ncn(c4n3)[C@@H]1O[C@@H]2CO,False,C13H17N5O5,323.123,23
CC(O)O[C@H]1[C@H]2O[C@H](CO)[C@]1(C)Oc1nc(N)c3ncn2c3n1,False,C13H17N5O5,323.123,23
CC(O)O[C@H]1[C@H]2O[C@@](C)(CO)[C@H]1Oc1nc(N)c3ncn2c3n1,False,C13H17N5O5,323.123,23
CC(O)O[C@@H]1[C@@H]2Oc3nc(N)c4ncn(c4n3)[C@@H]1O[C@@H]2C(C)O,False,C13H17N5O5,323.123,23
Nc1nc2nc3c1ncn3[C@@H]1O[C@H](CO2)[C@@H](O)[C@H]1OC=O,False,C11H11N5O5,293.076,21
CC(=O)O[C@@H]1[C@H](O)[C@H]2COc3nc(N)c4ncn(c4n3)[C@@H]1O2,False,C12H13N5O5,307.0917,22
COC(C)O[C@@H]1[C@H](O)[C@H]2COc3nc(N)c4ncn(c4n3)[C@@H]1O2,False,C13H17N5O5,323.123,23
CC(C)(O)O[C@@H]1[C@H](O)[C@H]2COc3nc(N)c4ncn(c4n3)[C@@H]1O2,False,C13H17N5O5,323.123,23
CCC(O)O[C@@H]1[C@H](O)[C@H]2COc3nc(N)c4ncn(c4n3)[C@@H]1O2,False,C13H17N5O5,323.123,23
CC(=O)OC(C)O[C@@H]1[C@H](O)[C@H]2COc3nc(N)c4ncn(c4n3)[C@@H]1O2,False,C14H17N5O6,351.1179,25
CC(Cl)O[C@@H]1[C@H](O)[C@H]2COc3nc(N)c4ncn(c4n3)[C@@H]1O2,False,C12H14ClN5O4,327.0734,22
CC(O)(O)O[C@@H]1[C@H](O)[C@H]2COc3nc(N)c4ncn(c4n3)[C@@H]1O2,False,C12H15N5O6,325.1022,23
Nc1nc2nc3c1ncn3[C@@H]1O[C@H](CO2)[C@@H](O)[C@H]1OC(O)CO,False,C12H15N5O6,325.1022,23
CCO[C@@H]1[C@H](O)[C@H]2COc3nc(N)c4ncn(c4n3)[C@@H]1O2,False,C12H15N5O4,293.1124,21
CC(O)OC(C)O[C@@H]1[C@H](O)[C@H]2COc3nc(N)c4ncn(c4n3)[C@@H]1O2,False,C14H19N5O6,353.1335,25
CC(O)O[C@@H]1[C@H](O)[C@H]2COc3nc(N)c4ncn(c4n3)[C@@]1(C)O2,False,C13H17N5O5,323.123,23
Cc1nc2c(N)nc3nc2n1[C@@H]1O[C@H](CO3)[C@@H](O)[C@H]1OC(C)O,False,C13H17N5O5,323.123,23
CC(O)O[C@@]1(C)[C@H](O)[C@H]2COc3nc(N)c4ncn(c4n3)[C@@H]1O2,False,C13H17N5O5,323.123,23
CC(O)O[C@H]1[C@H]2O[C@H](COc3nc(N)c4ncn2c4n3)[C@]1(C)O,False,C13H17N5O5,323.123,23
CC(O)O[C@H]1[C@H]2O[C@@](C)(COc3nc(N)c4ncn2c4n3)[C@H]1O,False,C13H17N5O5,323.123,23
