SMILES,Is_reactant,Is_product,Is_Starter,SourceDirectory
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,True,True,True,AdenosineOnly
CC(C)(O)Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2C(O)O[C@H]2[C@H]1O,False,True,False,AdenosineOnly
CC(=O)C#N,False,True,False,AdenosineOnly
CO[C@@H]1[C@H](O)[C@@H](C(C)OC(C)=O)O[C@H]1n1cnc2c(N)ncnc21,False,True,False,AdenosineOnly
CC(=O)O[C@H]1[C@@H](O)[C@H](n2c(C)nc3c(N)ncnc32)O[C@@H]1CO,True,False,True,AdenosineOnly
CC(C)(O)O[C@H]1[C@H]2O[C@@]1(CO)O[C@H]2n1cnc2c(N)ncnc21,False,True,False,AdenosineOnly
CO[C@@H]1[C@H](OC(C)=O)[C@@H](C(=O)O)O[C@H]1n1cnc2c(N)ncnc21,False,True,False,AdenosineOnly
CCO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC(C)=O)ncnc21,False,True,False,AdenosineOnly
CC(=O)Nc1nc2nc3c1ncn3[C@@H]1O[C@H](CO2)[C@@H](O)[C@H]1O,False,True,False,AdenosineOnly
CC(=O)N(C)c1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,True,True,False,AdenosineOnly
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)nc(C)nc32)O[C@@H]1CO,True,False,True,AdenosineOnly
Nc1ncnc2c1nc1n2[C@@H]2O[C@H](C(O)O)[C@@H](O1)[C@H]2O,True,False,True,AdenosineOnly
CO[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1C(=O)OC(C)=O,False,True,False,AdenosineOnly
Nc1ncnc2c1nc1n2[C@@H]2O[C@H](CO)[C@@H](O1)[C@H]2O,True,True,False,AdenosineOnly
N#CC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,False,True,False,AdenosineOnly
CCO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)nc(C)nc21,False,True,False,AdenosineOnly
CC(O)Nc1ncnc2c1ncn2[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H]1O,False,True,False,AdenosineOnly
CC1=Nc2ncnc3c2ncn3[C@@H]2O[C@H](C=O)[C@@H](O1)[C@H]2O,False,True,False,AdenosineOnly
CO[C@@]1(C)[C@@H](CO)O[C@@H](n2cnc3c(N)ncnc32)[C@@H]1OC=O,False,True,False,AdenosineOnly
CC(C)(O)O[C@@H]1[C@H](O)[C@H]2COc3nc4c(N)ncnc4n3[C@@H]1O2,False,True,False,AdenosineOnly
CC(O)O[C@H]1[C@H](n2cnc3c(N)ncnc32)O[C@@]2(CO2)[C@H]1O,True,False,True,AdenosineOnly
OCC1=Nc2ncnc3c2ncn3[C@@H]2O[C@H](CO1)[C@@H](O)[C@H]2O,False,True,False,AdenosineOnly
CC(=O)Nc1nc(C)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,True,True,False,AdenosineOnly
CO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC(C)=O)nc(C)nc21,False,True,False,AdenosineOnly
COCNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,False,True,False,AdenosineOnly
COC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](OC=O)[C@@H]1O,False,True,False,AdenosineOnly
CC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@H](C(=O)O)[C@](C)(O)[C@H]1O,False,True,False,AdenosineOnly
COCOC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,False,True,False,AdenosineOnly
C[C@]1(n2cnc3c(N)ncnc32)O[C@H](C=O)[C@@H](O)[C@H]1O,False,True,False,AdenosineOnly
CO[C@@H]1C(CO)O[C@H](n2cnc3c(N)ncnc32)[C@@H]1O,False,True,False,AdenosineOnly
Nc1ncnc2c1ncn2[C@@]12OC(=O)[C@@H](O1)[C@@H](O)[C@H]2O,False,True,False,AdenosineOnly
COC(C)O[C@@H]1[C@@H]2OC(O)[C@H]2O[C@H]1n1cnc2c(N)ncnc21,False,True,False,AdenosineOnly
COCO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,True,False,AdenosineOnly
CC(C)(O)Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,False,True,False,AdenosineOnly
CO[C@H]1[C@H]2Oc3nc4c(N)ncnc4n3[C@@H]2O[C@@H]1COC(C)O,False,True,False,AdenosineOnly
CO[C@@H]1[C@@H]2O[C@]1(n1cnc3c(N)ncnc31)O[C@@H]2C(O)O,False,True,False,AdenosineOnly
OCNc1nc2nc3c1ncn3[C@@H]1O[C@H](CO)[C@@H](O2)[C@H]1O,False,True,False,AdenosineOnly
COC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OC,True,True,False,AdenosineOnly
CC(O)O[C@@H]1[C@H](O)[C@@H](C=O)O[C@H]1n1cnc2c(N)ncnc21,False,True,False,AdenosineOnly
