SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
C=C1OC(=O)C=C1NC(N)CC=O,False,C8H10N2O3,182.0691,13
C=C1OC(=O)C=C1NC(=O)O,False,C6H5NO4,155.0219,11
C=C1OC(=O)C(C)=C1NC(=O)C=O,False,C8H7NO4,181.0375,13
CC1=C(N(C)C=O)/C(=C\C=O)OC1=O,False,C9H9NO4,195.0532,14
CC1=C(NC=O)/C(=C\C(O)C#N)OC1=O,False,C9H8N2O4,208.0484,15
CC1=C(NC=O)C(N)(CC=O)OC1=O,False,C8H10N2O4,198.0641,14
CC1=C(NC=O)/C(=C\CN)OC1=O,False,C8H10N2O3,182.0691,13
CC=C1OC(=O)C=C1NC(=O)C=O,False,C8H7NO4,181.0375,13
CC1=C2OC(=O)C=C2[N+](C=O)=C1,False,C8H6NO3+,164.0342,12
C/C(C=O)=C1\OC(=O)C=C1N(C)C=O,False,C9H9NO4,195.0532,14
C/C(=C1\OC(=O)C=C1NC=O)C(O)C#N,False,C9H8N2O4,208.0484,15
CC(C=O)C1(N)OC(=O)C=C1NC=O,False,C8H10N2O4,198.0641,14
C/C(CN)=C1\OC(=O)C=C1NC=O,False,C8H10N2O3,182.0691,13
C/C=C1\OC(=O)C=C1NC=O,False,C7H7NO3,153.0426,11
CC(=O)/C=C1/OC(=O)C=C1N(C)C=O,False,C9H9NO4,195.0532,14
CC(O)(C#N)/C=C1/OC(=O)C=C1NC=O,False,C9H8N2O4,208.0484,15
CC(=O)CC1(N)OC(=O)C=C1NC=O,False,C8H10N2O4,198.0641,14
CC(N)/C=C1/OC(=O)C=C1NC=O,False,C8H10N2O3,182.0691,13
C=C1OC(=O)C=C1NC(C)(O)C=O,False,C8H9NO4,183.0532,13
CC1=C(NCO)/C(=C\C=O)OC1=O,False,C8H9NO4,183.0532,13
C/C(C=O)=C1\OC(=O)C=C1NCO,False,C8H9NO4,183.0532,13
CC(=O)/C=C1/OC(=O)C=C1NCO,False,C8H9NO4,183.0532,13
O=C1C=C(NC2CO2)/C(=C\CO)O1,False,C8H9NO4,183.0532,13
CC1NC2=C(O1)C(=O)O/C2=C/CO,False,C8H9NO4,183.0532,13
CC1NC2=CC(=O)OC2=C(CO)O1,False,C8H9NO4,183.0532,13
COC(C)NC1=CC(=O)O/C1=C/C=O,False,C9H11NO4,197.0688,14
CC(O)N(C)C1=CC(=O)O/C1=C/C=O,False,C9H11NO4,197.0688,14
CC(C)(O)NC1=CC(=O)O/C1=C/C=O,False,C9H11NO4,197.0688,14
CCC(O)NC1=CC(=O)O/C1=C/C=O,False,C9H11NO4,197.0688,14
CC(O)NC1=CC(=O)O/C1=C/C(O)C#N,False,C9H10N2O4,210.0641,15
CC(Cl)NC1=CC(=O)O/C1=C/C=O,False,C8H8ClNO3,201.0193,13
CC(O)NC1=CC(=O)OC1(N)CC=O,False,C8H12N2O4,200.0797,14
CC(O)NC1=CC(=O)O/C1=C/CN,False,C8H12N2O3,184.0848,13
CCNC1=CC(=O)O/C1=C/C=O,False,C8H9NO3,167.0582,12
O=C/C=C1/OC(=O)C=C1NCO,False,C7H7NO4,169.0375,12
CC1=C(NC(C)O)/C(=C\C=O)OC1=O,False,C9H11NO4,197.0688,14
CC(O)/C=C1/OC(=O)C=C1NC(C)O,False,C9H13NO4,199.0845,14
CCN(C=O)C1=CC(=O)O/C1=C/C=O,False,C9H9NO4,195.0532,14
C=C1OC(=O)C=C1N(CC=O)C(C)=O,False,C9H9NO4,195.0532,14
CNC1=CC(=O)O/C1=C/C=O,False,C7H7NO3,153.0426,11
CC(=O)N(C)C1=CC(=O)OC1(N)CC=O,False,C9H12N2O4,212.0797,15
CC(N)N(C)C1=CC(=O)O/C1=C/C=O,False,C9H12N2O3,196.0848,14
CC(=O)N(C)C1=CC(=O)O/C1=C/CN,False,C9H12N2O3,196.0848,14
C=C1OC(=O)C=C1NC(=O)CCC=O,False,C9H9NO4,195.0532,14
CCC1=C(NC=O)/C(=C\C=O)OC1=O,False,C9H9NO4,195.0532,14
C=CC(=O)NC1=CC(=O)O/C1=C/C=O,False,C9H7NO4,193.0375,14
CCC(=O)O,False,C3H6O2,74.0368,5
CCC(=O)NC1=CC(=O)OC1(N)CC=O,False,C9H12N2O4,212.0797,15
CCC(N)NC1=CC(=O)O/C1=C/C=O,False,C9H12N2O3,196.0848,14
CCC(=O)NC1=CC(=O)O/C1=C/CN,False,C9H12N2O3,196.0848,14
OC1CO1,False,C2H4O2,60.0211,4
CC(O)O,False,C2H6O2,62.0368,4
COC(C)=O,False,C3H6O2,74.0368,5
CC(=O)OC(C)=O,False,C4H6O3,102.0317,7
O=C(O)CC(=O)O,False,C3H4O4,104.011,7
