starter_idx,starter_smiles,status,num_molecules,num_targets,time_seconds,error
43,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]2O)c(=O)[nH]1.[Li+].[Li+].[Li+].[Li+],success,42,26,38.75,
44,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,success,366,347,304.35,
45,Cn1c[n+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,success,418,399,363.64,
46,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2F)c(=O)[nH]1,success,287,268,270.63,
47,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]2O)c(=O)[nH]1,success,138,120,173.2,
48,Nc1nc(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](OP(=O)(O)OP(=O)(O)O)[C@H]3O)c2[nH]1,failed,42,26,61.65,min() arg is an empty sequence
49,CNc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,success,395,376,340.6,
50,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1.[H+].[H+],success,190,172,271.84,
51,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,success,84,68,75.72,
52,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C[C@H]2O)c(=O)[nH]1,success,55,39,53.14,
53,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)C[C@H]1F,success,134,115,176.96,
54,O=c1[nH]cnc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@@H]1O,failed,300,281,274.52,min() arg is an empty sequence
55,CCNc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1,success,1117,1096,1045.86,
